label,youtube_id,time_start,time_end,split
playing trombone,nfXIEDKqH24,343,353,train
washing hands,dD1viOjD8c4,260,270,train
biking through snow,NnN2pj6VZDQ,28,38,train
riding unicycle,muzK66rBpQo,6,16,train
directing traffic,PLE1YYBQ4Bg,4,14,train
carrying baby,A-RV-afiZ3w,15,25,train
capsizing,fP3wPK1kilM,0,10,train
steer roping,LHswWDVc_3E,81,91,train
tobogganing,WsicifUrmkY,32,42,train
throwing tantrum,1__flX0qVAQ,0,10,train
carving marble,WfScumOJ6vM,11,21,train
making a sandwich,CUaF9bjwyds,85,95,train
smashing,KP3iVTlEgoE,158,168,train
using megaphone,pDuZ4FRRPzE,177,187,train
doing jigsaw puzzle,mODW-OaOdsU,20,30,train
fixing bicycle,xdMZnMJ-PAc,114,124,train
frying vegetables,IRzKPg9p7Mo,195,205,train
dodgeball,7guuRgkUu_I,30,40,train
doing aerobics,4XX4Hwp3_y0,180,190,train
opening wine bottle,M2IXDB037ic,177,187,train
playing billiards,EnGZi3N0TOo,157,167,train
blowdrying hair,8P0fWWdDAco,8,18,train
eating chips,lhbBZm9FKrc,24,34,train
hoverboarding,PCxsCpb3LZE,0,10,train
using puppets,e1tRTt2_ppI,143,153,train
passing American football (not in game),eQWkMjYH6zc,4,14,train
shaping bread dough,rSagbhWSqx4,0,10,train
doing sudoku,scu9qFtxtyk,375,385,train
presenting weather forecast,iGfXEg4ia1E,31,41,train
slapping,o5R3fVpQWHE,59,69,train
bartending,c2WS716QrZE,291,301,train
playing laser tag,ZRjtiQ6cwjQ,28,38,train
waiting in line,R-ugBjyaLUs,72,82,train
making tea,ljqICWeHoDk,62,72,train
throwing axe,fw0yBH5xCmo,0,10,train
stacking cups,wnY0pcty16M,3,13,train
folding napkins,tYADUe9paOE,31,41,train
putting on eyeliner,Nl-X3FQ0pUU,97,107,train
surveying,NwTT5dg1RJ0,28,38,train
celebrating,O4qMIoZQ4A0,23,33,train
shaking hands,V6MkzP8oYPc,2,12,train
